ID,datekey,Canal,Cliente,Segmento,Vehiculo,Costo Vehículo,Precio Venta sin IGV,IGV,Sede,Vendedor
29,20170609,6,967,Persona,144,17190.175,25957.1642,0.18,4,10
30,20170608,6,453,Persona,73,17036.0651,24872.6551,0.18,4,10
31,20170607,6,942,Persona,157,18057.8296,24739.2266,0.18,4,10
32,20170606,6,1001,Persona,143,17615.8517,23957.5583,0.18,4,10
103,20170327,6,242,Persona,140,17251.5879,25359.8342,0.18,4,10
104,20170326,6,1081,Persona,136,17564.6927,23887.982,0.18,4,10
105,20170325,6,482,Persona,69,17785.2776,25610.7998,0.18,4,10
106,20170324,6,1027,Persona,152,16594.1316,25720.904,0.18,4,10
250,20170203,6,242,Persona,14,16785.0514,25177.5771,0.18,4,10
251,20170203,6,1047,Persona,9,17021.548,25362.1066,0.18,4,10
252,20170203,6,813,Persona,3,16966.2701,24261.7663,0.18,4,10
253,20170203,6,392,Persona,13,17250.3325,26393.0088,0.18,4,10
274,20170202,6,492,Persona,25,17496.8069,27819.923,0.18,4,10
275,20170202,6,928,Persona,48,17018.6602,22805.0047,0.18,4,10
276,20170202,6,401,Persona,112,17400.1259,26448.1914,0.18,4,10
277,20170202,6,200,Persona,112,17400.1259,23664.1713,0.18,4,10
316,20170130,6,507,Persona,59,18055.7447,26903.0597,0.18,4,10
317,20170130,6,57,Persona,39,17190.856,24239.107,0.18,4,10
318,20170130,6,677,Persona,168,17486.2304,23431.5488,0.18,4,10
319,20170130,6,235,Persona,146,17014.9952,22970.2435,0.18,4,10
2493,20161004,6,792,Persona,119,17266.89,24000.9771,0.18,4,10
2494,20161004,6,750,Persona,93,16751.329,24624.4536,0.18,4,10
2495,20161004,6,405,Persona,146,17014.9952,26032.9426,0.18,4,10
3551,20160729,6,911,Persona,143,17615.8517,26776.0946,0.18,4,10
3552,20160729,6,328,Persona,64,17115.1125,22249.6462,0.18,4,10
3553,20160729,6,976,Persona,164,16713.9247,22229.5199,0.18,4,10
3554,20160729,6,120,Persona,41,17558.8369,25284.7251,0.18,4,10
3743,20160721,6,451,Persona,168,17486.2304,27977.9687,0.18,4,10
3744,20160721,6,166,Persona,61,17536.8308,23674.7215,0.18,4,10
3745,20160721,6,994,Persona,140,17251.5879,26912.4771,0.18,4,10
3746,20160721,6,1014,Persona,14,16785.0514,23834.773,0.18,4,10
