id_vehiculo,marca_vehiculo,modelo_vehiculo,tipo_vehiculo,año_vehiculo
1,HONDA,ACCORD,AUTO,2014
2,HONDA,CIVIC,AUTO,2014
3,HONDA,ODISSEY,AUTO,2013
4,HONDA,CRV,AUTO,2014
5,HONDA,PILOT,AUTO,2013
6,HONDA,FIT,AUTO,2016
7,HONDA,CITY,AUTO,2016
17,MAZDA,3,AUTO,2012
18,MAZDA,6,AUTO,2017
19,MAZDA,5,AUTO,2016
20,MAZDA,CX7,AUTO,2016
29,MAZDA,PICK UP,AUTO,2016
30,HONDA,CRV,AUTO,2017
31,HONDA,PILOT,AUTO,2012
32,HONDA,FIT,AUTO,2014
33,HONDA,CITY,AUTO,2013
34,HONDA,ELEMENT,AUTO,2016
35,HONDA,CROSSTOUR,AUTO,2014
36,HONDA,CR-Z,AUTO,2015
37,HONDA,RID LINE PICK UP,AUTO,2016
42,TOYOTA,CAMRY,AUTO,2012
43,TOYOTA,COROLLA,AUTO,2013
44,TOYOTA,MATRIX,AUTO,2017
45,TOYOTA,4 RUNNER,AUTO,2016
46,TOYOTA,LAND CRUISER,AUTO,2014
52,TOYOTA,SOLARA,AUTO,2016
53,TOYOTA,FJ CRUISER,AUTO,2017
54,TOYOTA,AVANZA,AUTO,2012
55,TOYOTA,HIGHLANDER,AUTO,2013
56,TOYOTA,SEQUOIA,AUTO,2014
57,TOYOTA,RUSH,AUTO,2016
58,TOYOTA,PRIUS,AUTO,2016
60,TOYOTA,TACOMA PICK UP,AUTO,2017
61,TOYOTA,HILUX PICK UP,AUTO,2012
62,TOYOTA,TUNDRA PICK UP,AUTO,2016
63,TOYOTA,HIACE PANEL,AUTO,2012
64,TOYOTA,CAMRY,AUTO,2014
69,TOYOTA,SIENNA,AUTO,2012
70,TOYOTA,YARIS,AUTO,2012
71,TOYOTA,MR2,AUTO,2014
72,VOLVO,S40,AUTO,2013
73,VOLVO,C70,AUTO,2016
97,SUZUKI,AERIO,AUTO,2012
103,SUZUKI,50-110,AUTO,2012
104,SUZUKI,111-250,AUTO,2012
105,SUZUKI,251-650,AUTO,2016
106,SUZUKI,651-1000,AUTO,2017
107,SUZUKI,1000-2000,AUTO,2014
108,SUZUKI,GRAND VITARA,AUTO,2012
110,SUZUKI,XL7,AUTO,2016
111,SUZUKI,SX4,AUTO,2012
112,SUZUKI,KIZASHI,AUTO,2016
113,SUZUKI,50-110,AUTO,2013
114,SUZUKI,111-250,AUTO,2015
116,SUZUKI,651-1000,AUTO,2015
117,SUZUKI,1000-2000,AUTO,2015
118,SUZUKI,651-1000,AUTO,2016
119,SUZUKI,1000-2000,AUTO,2013
120,SUZUKI,AERIO,AUTO,2016
121,SUZUKI,GRAND VITARA,AUTO,2015
122,SUZUKI,SWIFT,AUTO,2012
123,SUZUKI,XL7,AUTO,2012
124,SUZUKI,SX4,AUTO,2013
125,SUZUKI,KIZASHI,AUTO,2017
126,SUZUKI,251-650,AUTO,2013
127,SUZUKI,XL7,AUTO,2013
128,SUZUKI,651-1000,AUTO,2013
129,SUZUKI,SWIFT,AUTO,2014
130,SUZUKI,XL7,AUTO,2015
131,SUZUKI,KIZASHI,AUTO,2015
132,SUZUKI,50-110,AUTO,2017
133,SUZUKI,111-250,AUTO,2014
134,SUZUKI,251-650,AUTO,2012
135,SUZUKI,1000-2000,AUTO,2016
136,SUZUKI,AERIO,AUTO,2013
137,SUZUKI,XL7,AUTO,2014
138,SUZUKI,SX4,AUTO,2014
144,TOYOTA,SOLARA,AUTO,2017
145,TOYOTA,FJ CRUISER,AUTO,2012
146,TOYOTA,AVANZA,AUTO,2014
147,TOYOTA,HIGHLANDER,AUTO,2015
148,TOYOTA,SEQUOIA,AUTO,2012
149,TOYOTA,RUSH,AUTO,2017
150,TOYOTA,PRIUS,AUTO,2013
152,TOYOTA,TACOMA PICK UP,AUTO,2016
153,TOYOTA,TUNDRA PICK UP,AUTO,2017
154,TOYOTA,HIACE PANEL,AUTO,2014
155,TOYOTA,CAMRY,AUTO,2016
159,TOYOTA,SIENNA,AUTO,2013
160,TOYOTA,YARIS,AUTO,2013
161,TOYOTA,YARIS,AUTO,2017
162,HYUNDAI,ELANTRA,AUTO,2017
163,HYUNDAI,ELANTRA,AUTO,2012
164,HYUNDAI,ELANTRA,AUTO,2014
165,HYUNDAI,ELANTRA,AUTO,2016
166,HYUNDAI,ELANTRA,AUTO,2015
167,HYUNDAI,ELANTRA,AUTO,2013
168,HYUNDAI,GENESIS,AUTO,2012
169,HYUNDAI,GENESIS,AUTO,2017
170,HYUNDAI,GENESIS,AUTO,2015
171,HYUNDAI,GENESIS,AUTO,2013
172,HYUNDAI,GENESIS,AUTO,2014
173,HYUNDAI,GENESIS,AUTO,2016
8,HONDA,ELEMENT,CAMIONETA,2013
9,HONDA,CROSSTOUR,CAMIONETA,2013
10,HONDA,CR-Z,CAMIONETA,2015
11,HONDA,RID LINE PICK UP,CAMIONETA,2014
12,HONDA,50-110,CAMIONETA,2012
13,HONDA,111-250,CAMIONETA,2014
14,HONDA,251-650,CAMIONETA,2015
15,HONDA,651-1000,CAMIONETA,2016
16,HONDA,1001-2000,CAMIONETA,2016
21,MAZDA,CX9,CAMIONETA,2014
22,MAZDA,MX5,CAMIONETA,2016
23,MAZDA,2,CAMIONETA,2017
24,MAZDA,CX-5,CAMIONETA,2017
25,MAZDA,PICK UP,CAMIONETA,2014
26,MAZDA,CX9,CAMIONETA,2017
27,MAZDA,MX5,CAMIONETA,2017
28,MAZDA,CX-5,CAMIONETA,2015
38,HONDA,111-250,CAMIONETA,2017
39,HONDA,251-650,CAMIONETA,2014
40,HONDA,651-1000,CAMIONETA,2015
41,HONDA,1001-2000,CAMIONETA,2013
